"TOPOGRAPHY","ICE_BASE","Dist","model_bed"
21.7772,NA,3179.49339183064,-392.14438775
21.765,NA,3237.41097195753,-392.759106666667
21.747,NA,3295.47868064789,-393.373825583333
21.7547,NA,3353.69921461145,-393.9885445
21.7511,NA,3412.05768578189,-394.603263416667
21.7399,NA,3470.56151842316,-395.217982333333
21.7875,NA,3529.21947499119,-395.83270125
21.8078,NA,3588.04626681643,-396.447420166667
21.822,NA,3647.0439976751,-397.062139083333
21.8397,NA,3706.23723020438,-397.676858
21.8352,NA,3765.63172347456,-396.107117181818
21.8293,NA,3825.22355343514,-394.537376363636
21.8158,NA,3885.05430225493,-392.967635545455
21.8086,NA,3945.10717376805,-391.397894727273
21.8106,NA,4005.38078995926,-389.828153909091
21.8129,NA,4065.89352222832,-388.258413090909
21.8209,NA,4126.64151876901,-386.688672272727
21.8235,NA,4187.63493624495,-385.118931454545
21.8181,NA,4248.87294836862,-383.549190636364
21.8194,NA,4310.34826843401,-381.979449818182
21.8098,NA,4372.08224703628,-380.409709
21.8064,NA,4434.0515901657,-382.3049141
21.7941,NA,4496.27465125931,-384.2001192
21.8031,NA,4558.7383162202,-386.0953243
21.8217,NA,4621.42698931922,-387.9905294
21.811,NA,4684.35467832048,-389.8857345
21.8191,NA,4747.50557924979,-391.7809396
21.8306,NA,4810.87403174634,-393.6761447
21.8284,NA,4874.47628723506,-395.5713498
21.8283,NA,4938.30493634439,-397.4665549
21.8174,NA,5002.37018065801,-399.36176
21.8182,NA,5066.68390159719,-400.073301111111
21.8144,NA,5131.24611144517,-400.784842222222
21.8176,NA,5196.07916362007,-401.496383333333
21.8188,NA,5261.16473094403,-402.207924444444
21.805,NA,5326.53094624748,-402.919465555556
21.8184,NA,5392.15682118367,-403.631006666667
21.8254,NA,5458.06158896838,-404.342547777778
21.8296,NA,5524.23073293678,-405.054088888889
21.832,NA,5590.67380671287,-405.76563
21.8298,NA,5657.36038258046,-404.891122888889
21.8456,NA,5724.28663614551,-404.016615777778
21.8365,NA,5791.45784276255,-403.142108666667
21.8353,NA,5858.84293386269,-402.267601555556
21.8512,NA,5926.45857036992,-401.393094444444
21.855,NA,5994.29799309486,-400.518587333333
21.8466,NA,6062.36237794387,-399.644080222222
21.848,NA,6130.63715419467,-398.769573111111
21.8633,NA,6199.12146396063,-397.895066
21.8544,NA,6267.77027596053,-397.254286555556
21.8575,NA,6336.58754193094,-396.613507111111
21.8484,NA,6405.53373294416,-395.972727666667
21.8498,NA,6474.614952284,-395.331948222222
21.8607,NA,6543.81567508479,-394.691168777778
21.8505,NA,6613.14470237272,-394.050389333333
21.8761,NA,6682.58472223896,-393.409609888889
21.8726,NA,6752.11793986113,-392.768830444444
21.874,NA,6821.74244672373,-392.128051
21.8679,NA,6891.42807530098,-393.334340888889
21.8751,NA,6961.13030576341,-394.540630777778
21.8586,NA,7030.84802264842,-395.746920666667
21.8709,NA,7100.5459180611,-396.953210555556
21.8673,NA,7170.22610565857,-398.159500444444
21.879,NA,7239.8948072775,-399.365790333333
21.8781,NA,7309.54236368376,-400.572080222222
21.8743,NA,7379.17231836588,-401.778370111111
21.8608,NA,7448.78994710097,-402.98466
21.8678,NA,7518.40079780202,-402.4487322
21.8897,NA,7587.99474237778,-401.9128044
21.8971,NA,7657.55610816841,-401.3768766
21.9225,NA,7727.09419381137,-400.8409488
21.9189,NA,7796.60689306686,-400.305021
21.9333,NA,7866.08653789439,-399.7690932
21.9158,NA,7935.54553131904,-399.2331654
21.9053,NA,8004.97890589108,-398.6972376
21.9103,NA,8074.38179338187,-398.1613098
21.9314,NA,8143.77140691028,-397.625382
21.935,NA,8213.12227830492,-395.703918555556
21.9594,NA,8282.43687382531,-393.782455111111
21.9535,NA,8351.71714291554,-391.860991666667
21.9671,NA,8420.95364118322,-389.939528222222
21.954,NA,8490.14924433002,-388.018064777778
21.9501,NA,8559.30535163494,-386.096601333333
21.9595,NA,8628.41637365226,-384.175137888889
21.9597,NA,8697.47343628519,-382.253674444444
21.9654,NA,8766.46298855831,-380.332211
21.9396,NA,8835.38716328728,-378.724034333333
21.9472,NA,8904.22534495846,-377.115857666667
21.9405,NA,8972.97362854258,-375.507681
21.9526,NA,9041.62507260218,-373.899504333333
21.9516,NA,9110.17566365005,-372.291327666667
21.9606,NA,9178.62380510396,-370.683151
21.9531,NA,9246.95949757164,-369.074974333333
21.9429,NA,9315.17016769303,-367.466797666667
21.973,NA,9383.26652269183,-365.858621
21.9594,NA,9451.23754555438,-363.5875061
21.9527,NA,9519.06028531954,-361.3163912
21.9567,NA,9586.75948577562,-359.0452763
21.9499,NA,9654.3399516017,-356.7741614
21.9591,NA,9721.81126761741,-354.5030465
21.9748,NA,9789.15575578794,-352.2319316
21.9427,NA,9856.40458685165,-349.9608167
21.951,NA,9923.53345218157,-347.6897018
21.973,NA,9990.54956998844,-345.4185869
21.9839,NA,10057.4523400841,-343.147472
