"Dist","ICE_BASE","model_bed","TOPOGRAPHY"
0,NA,NA,11.8
54.1075937841087,NA,NA,11.9
108.337178575911,NA,NA,11.9
162.662359919458,NA,NA,11.9
217.097631379671,NA,NA,11.9
271.615540139337,NA,NA,11.9
326.213901178004,NA,NA,11.9
380.881782718012,NA,NA,11.9
435.61090337703,NA,NA,11.9
490.407970152272,NA,NA,11.9
545.253728160249,NA,NA,11.9
600.123912744912,NA,NA,11.9
655.024677130544,NA,NA,11.9
709.947304647025,NA,NA,12
764.873680619533,NA,NA,11.9
819.806758260738,NA,NA,11.8
874.75027532995,NA,NA,11.8
929.703675251523,NA,NA,11.9
984.693343085683,NA,NA,11.9
1039.730331808,NA,NA,11.9
1094.8269531069,NA,NA,11.8
1149.98437138738,NA,NA,11.9
1205.21993258511,NA,NA,11.9
1260.51877950821,NA,NA,11.9
1315.87575080903,NA,NA,11.9
1371.29268238247,NA,NA,11.9
1426.75891228465,NA,NA,11.8
1482.27540342913,NA,NA,11.9
1537.83283242834,NA,NA,11.9
1593.45259833981,NA,NA,12.1
1649.10852003417,NA,NA,11.9
1704.81182039151,NA,NA,12
1760.55197481594,NA,NA,12
1816.3316424724,NA,NA,12
1872.14394866946,NA,NA,12
1927.98786437317,NA,NA,12
1983.84565729446,NA,NA,11.9
2039.74708232328,NA,NA,11.9
2095.68534308412,NA,NA,11.9
2151.6495660491,NA,NA,11.9
2207.66429748733,NA,NA,11.9
2263.71898197453,NA,NA,11.8
2319.8039175807,NA,NA,11.9
2375.91814053516,NA,NA,11.9
2432.05988838526,NA,NA,12
2488.215070719,NA,NA,12.2
2544.39746171015,NA,NA,12.1
2600.58498558956,NA,NA,11.9
2656.79221046376,NA,NA,11.8
2713.0120600685,NA,NA,12
2769.23833292083,NA,NA,11.8
2825.46177360698,NA,NA,11.9
2881.69118676455,NA,NA,12.1
2937.92073585685,NA,NA,11.9
2994.16012702951,NA,NA,11.9
3050.41251913331,NA,NA,11.9
3106.68976668729,NA,NA,11.9
3163.00450388445,NA,NA,11.8
3219.33209910878,NA,NA,11.9
3275.72360963923,NA,NA,11.9
3332.13439384225,NA,NA,11.9
3388.59192287817,NA,NA,11.9
3445.08224827942,NA,NA,11.9
3501.59618165757,NA,NA,11.8
3558.14743643067,NA,NA,12
3614.72826494638,NA,NA,12.3
3671.31990310366,NA,NA,11.8
3727.91751931598,NA,NA,11.9
3784.50433827754,NA,NA,11.8
3841.08117734305,NA,NA,11.8
3897.62154488504,NA,NA,11.8
3954.14642948466,NA,NA,11.9
4010.63448491283,NA,NA,12
4067.09959469534,NA,NA,11.9
4123.57431198723,NA,NA,12
4180.04182210891,NA,NA,11.9
4236.53407515906,NA,NA,12
4293.06609268035,NA,NA,11.9
4349.62759392492,NA,NA,11.9
4406.23569618019,NA,NA,11.9
4462.87045538352,NA,NA,11.8
4519.53441775788,NA,NA,12
4576.23735861785,NA,NA,12
4632.96901234631,NA,NA,12.1
4689.72596240063,NA,NA,12.1
4746.5311618831,NA,NA,11.9
4803.35654683685,NA,NA,11.8
4860.23552305685,NA,NA,11.7
4917.13083021469,NA,NA,11.7
4974.04872472285,NA,NA,11.7
5030.99939192929,NA,NA,11.7
5087.92394584627,NA,NA,11.8
5144.83517158557,NA,NA,11.8
5201.72676206471,NA,NA,11.8
5258.57507849747,NA,NA,11.8
5315.40555387086,NA,NA,11.8
5372.20412866258,NA,NA,11.8
5428.98732451687,NA,NA,11.8
5485.74565696689,NA,NA,11.9
5542.4856430827,NA,NA,11.8
5599.19443693574,NA,NA,11.9
5655.87785388658,NA,NA,11.7
5712.53110799437,NA,-235.74,11.7
5769.1778226965,NA,-236.033,11.7
5825.8002605578,NA,-236.325,11.7
5882.4260033546,NA,-236.617,11.7
5939.05836475471,NA,-236.909,11.7
5995.69331458542,NA,-237.201,11.7
6052.3560187787,NA,-237.493,11.7
6109.03042809085,NA,-237.785,11.8
6165.72712418662,NA,-238.077,11.7
6222.44331901915,NA,-238.37,11.7
6279.18885856905,NA,-238.662,11.7
6335.944604014,NA,-238.955,11.7
6392.72754496348,NA,-239.248,11.7
6449.53365820538,NA,-239.541,11.7
6506.34761481365,NA,-239.834,11.7
6563.17615461801,NA,-240.127,11.7
6620.02473092886,NA,-240.42,11.7
6676.86784787898,NA,-240.713,11.8
6733.7130285849,NA,-241.006,12
6790.56194627795,NA,-241.299,11.9
6847.42294243802,NA,-241.592,11.7
6904.28971623746,NA,-241.886,11.7
6961.15142416088,NA,-242.179,11.7
7018.01984466848,NA,-242.472,11.7
7074.87752131821,NA,-242.765,11.7
7131.71622056466,NA,-243.058,11.7
7188.5470950158,NA,-243.351,11.7
7245.35262701047,NA,-243.644,11.7
7302.14694535737,NA,-243.937,11.7
7358.92783414541,NA,-244.23,11.7
7415.68827867052,NA,-244.523,11.7
7472.44947515055,NA,-244.815,11.7
7529.17661120559,NA,-245.108,11.7
7585.91747349184,NA,-245.4,11.7
7642.64117762438,NA,-245.693,11.7
7699.36364120414,NA,-245.985,11.7
7756.07684748375,NA,-246.278,11.7
7812.78302593246,NA,-246.57,11.7
7869.48302067221,NA,-246.862,11.7
7926.17294338685,NA,-247.155,11.7
7982.86192057639,NA,-247.007,11.7
8039.52746576306,NA,-246.286,11.8
8096.20136822004,NA,-245.566,11.7
8152.86266943255,NA,-244.845,11.7
8209.53969781723,NA,-244.125,11.8
8266.20240240955,NA,-243.404,11.8
8322.88654520065,NA,-242.683,11.9
8379.55166663529,NA,-241.963,11.9
8436.21899285868,NA,-241.242,12.1
8492.88780390824,NA,-240.521,12
8549.52194339979,NA,-239.801,12.2
8606.17341972479,NA,-239.081,12.3
8662.79284275947,NA,-238.361,12.1
8719.40586529289,NA,-237.641,12.1
8776.00271514951,NA,-236.921,12.1
8832.59249371422,NA,-236.202,12.1
8889.16105232376,NA,-235.482,12.2
8945.72732452508,NA,-234.763,12.1
9002.27371307981,NA,-234.044,12.4
9058.80702804143,NA,-233.325,12.4
9115.31728080495,NA,-232.607,12.2
9171.8226602171,NA,-231.888,12.2
9228.28994568177,NA,-231.17,11.7
9284.73842485215,NA,-230.452,11.7
9341.13104741063,NA,-229.735,11.8
9397.46496511453,NA,-229.019,11.8
9453.70439055525,NA,-228.304,11.7
